Time,A,B,C,D,Out
78,-0.9823,0.273,-0.2681,-0.7093,0.4412
79,-0.9686,0.4086,-0.3958,-0.5599,0.1641
80,-0.9511,0.5358,-0.5096,-0.4152,-0.0944
81,-0.9298,0.6518,-0.6061,-0.2779,-0.3281
82,-0.9048,0.7543,-0.6825,-0.1506,-0.5319
83,-0.8763,0.8409,-0.7369,-0.0354,-0.7016
84,-0.8443,0.9101,-0.7684,0.0658,-0.8342
85,-0.809,0.9603,-0.7769,0.1513,-0.9282
86,-0.7705,0.9905,-0.7632,0.2199,-0.9831
87,-0.729,1,-0.729,0.271,-1
88,-0.6845,0.9887,-0.6768,0.3041,-0.9809
89,-0.6374,0.9567,-0.6098,0.3193,-0.9291
90,-0.5878,0.9048,-0.5318,0.317,-0.8489
91,-0.5358,0.8341,-0.4469,0.2983,-0.7452
92,-0.4818,0.7459,-0.3594,0.2642,-0.6235
93,-0.4258,0.6423,-0.2735,0.2165,-0.4899
94,-0.3681,0.5252,-0.1933,0.1571,-0.3504
95,-0.309,0.3971,-0.1227,0.0881,-0.2109
96,-0.2487,0.2608,-0.0649,0.0122,-0.077
97,-0.1874,0.1191,-0.0223,-0.0683,0.046
98,-0.1253,-0.0251,0.0031,-0.1505,0.1536
99,-0.0628,-0.1688,0.0106,-0.2316,0.2422
100,0,-0.309,0,-0.309,0.309
101,0.0628,-0.4428,-0.0278,-0.38,0.3522
102,0.1253,-0.5673,-0.0711,-0.4419,0.3708
103,0.1874,-0.68,-0.1274,-0.4926,0.3652
104,0.2487,-0.7785,-0.1936,-0.5298,0.3362
105,0.309,-0.8607,-0.266,-0.5517,0.2857
106,0.3681,-0.9251,-0.3405,-0.557,0.2164
107,0.4258,-0.9701,-0.4131,-0.5443,0.1313
108,0.4818,-0.995,-0.4793,-0.5132,0.0339
109,0.5358,-0.999,-0.5353,-0.4632,-0.0721
110,0.5878,-0.9823,-0.5774,-0.3945,-0.1829
111,0.6374,-0.9451,-0.6024,-0.3076,-0.2948
112,0.6845,-0.8881,-0.608,-0.2036,-0.4044
113,0.729,-0.8127,-0.5924,-0.0837,-0.5087
114,0.7705,-0.7203,-0.555,0.0502,-0.6052
115,0.809,-0.6129,-0.4959,0.1961,-0.692
116,0.8443,-0.4927,-0.416,0.3516,-0.7676
117,0.8763,-0.3623,-0.3175,0.514,-0.8315
118,0.9048,-0.2243,-0.2029,0.6806,-0.8835
119,0.9298,-0.0816,-0.0759,0.8482,-0.924
120,0.9511,0.0628,0.0597,1.0138,-0.9541
121,0.9686,0.2059,0.1994,1.1744,-0.9751
122,0.9823,0.3446,0.3385,1.3269,-0.9884
123,0.9921,0.4762,0.4725,1.4684,-0.9959
124,0.998,0.5979,0.5967,1.5959,-0.9992
125,1,0.7071,0.7071,1.7071,-1
126,0.998,0.8016,0.8,1.7996,-0.9996
127,0.9921,0.8793,0.8724,1.8714,-0.999
128,0.9823,0.9387,0.9221,1.921,-0.9989
129,0.9686,0.9786,0.9478,1.9472,-0.9993
130,0.9511,0.998,0.9492,1.9491,-0.9999
131,0.9298,0.9967,0.9267,1.9264,-0.9998
132,0.9048,0.9745,0.8818,1.8794,-0.9976
133,0.8763,0.9321,0.8168,1.8084,-0.9916
134,0.8443,0.8702,0.7347,1.7145,-0.9798
135,0.809,0.7902,0.6392,1.5992,-0.9599
136,0.7705,0.6937,0.5345,1.4642,-0.9297
137,0.729,0.5827,0.4248,1.3117,-0.8869
138,0.6845,0.4596,0.3146,1.1441,-0.8295
139,0.6374,0.3269,0.2084,0.9643,-0.7559
140,0.5878,0.1874,0.1101,0.7752,-0.665
141,0.5358,0.044,0.0236,0.5798,-0.5562
142,0.4818,-0.1004,-0.0483,0.3814,-0.4297
143,0.4258,-0.2426,-0.1033,0.1832,-0.2865
144,0.3681,-0.3798,-0.1398,-0.0117,-0.1282
145,0.309,-0.509,-0.1573,-0.2,0.0427
146,0.2487,-0.6277,-0.1561,-0.379,0.2229
147,0.1874,-0.7333,-0.1374,-0.5459,0.4085
148,0.1253,-0.8235,-0.1032,-0.6982,0.595
149,0.0628,-0.8966,-0.0563,-0.8339,0.7775
150,0,-0.9511,0,-0.9511,0.9511
151,-0.0628,-0.9856,0.0619,-1.0484,1.1103
152,-0.1253,-0.9997,0.1253,-1.125,1.2503
153,-0.1874,-0.9929,0.186,-1.1803,1.3663
154,-0.2487,-0.9654,0.2401,-1.2141,1.4542
155,-0.309,-0.9178,0.2836,-1.2268,1.5104
156,-0.3681,-0.851,0.3133,-1.2191,1.5324
157,-0.4258,-0.7665,0.3264,-1.1923,1.5186
158,-0.4818,-0.666,0.3209,-1.1478,1.4686
159,-0.5358,-0.5516,0.2956,-1.0875,1.3831
160,-0.5878,-0.4258,0.2503,-1.0136,1.2638
161,-0.6374,-0.291,0.1855,-0.9285,1.114
162,-0.6845,-0.1502,0.1028,-0.8348,0.9376
163,-0.729,-0.0063,0.0046,-0.7353,0.7398
164,-0.7705,0.1378,-0.1062,-0.6327,0.5266
165,-0.809,0.279,-0.2257,-0.53,0.3043
166,-0.8443,0.4144,-0.3499,-0.43,0.0801
167,-0.8763,0.5411,-0.4742,-0.3352,-0.139
168,-0.9048,0.6566,-0.5941,-0.2482,-0.3459
169,-0.9298,0.7584,-0.7051,-0.1714,-0.5337
170,-0.9511,0.8443,-0.803,-0.1067,-0.6963
171,-0.9686,0.9127,-0.884,-0.0559,-0.8281
172,-0.9823,0.962,-0.945,-0.0203,-0.9247
173,-0.9921,0.9913,-0.9835,-8e-04,-0.9827
174,-0.998,0.9999,-0.9979,0.0019,-0.9998
175,-1,0.9877,-0.9877,-0.0123,-0.9754
176,-0.998,0.9549,-0.953,-0.0432,-0.9098
177,-0.9921,0.9021,-0.895,-0.09,-0.805
178,-0.9823,0.8306,-0.8159,-0.1517,-0.6642
179,-0.9686,0.7417,-0.7184,-0.2268,-0.4916
180,-0.9511,0.6374,-0.6062,-0.3136,-0.2926
181,-0.9298,0.5198,-0.4833,-0.41,-0.0734
182,-0.9048,0.3914,-0.3541,-0.5135,0.1593
183,-0.8763,0.2548,-0.2233,-0.6215,0.3983
184,-0.8443,0.1129,-0.0953,-0.7315,0.6362
185,-0.809,-0.0314,0.0254,-0.8404,0.8658
186,-0.7705,-0.175,0.1349,-0.9455,1.0804
187,-0.729,-0.315,0.2296,-1.044,1.2736
188,-0.6845,-0.4484,0.3069,-1.1329,1.4399
189,-0.6374,-0.5724,0.3649,-1.2099,1.5747
190,-0.5878,-0.6845,0.4024,-1.2723,1.6747
191,-0.5358,-0.7824,0.4192,-1.3182,1.7374
192,-0.4818,-0.8639,0.4162,-1.3457,1.7619
193,-0.4258,-0.9274,0.3949,-1.3532,1.7481
194,-0.3681,-0.9716,0.3577,-1.3398,1.6974
195,-0.309,-0.9956,0.3076,-1.3046,1.6122
196,-0.2487,-0.9987,0.2484,-1.2474,1.4958
197,-0.1874,-0.9811,0.1838,-1.1685,1.3523
198,-0.1253,-0.943,0.1182,-1.0683,1.1865
199,-0.0628,-0.8852,0.0556,-0.948,1.0036
200,0,-0.809,0,-0.809,0.809
201,0.0628,-0.7159,-0.045,-0.6531,0.6082
202,0.1253,-0.6079,-0.0762,-0.4826,0.4064
203,0.1874,-0.4873,-0.0913,-0.2999,0.2086
204,0.2487,-0.3564,-0.0886,-0.1077,0.0191
205,0.309,-0.2181,-0.0674,0.0909,-0.1583
206,0.3681,-0.0753,-0.0277,0.2928,-0.3205
207,0.4258,0.0691,0.0294,0.4948,-0.4654
208,0.4818,0.212,0.1021,0.6938,-0.5916
209,0.5358,0.3505,0.1878,0.8864,-0.6985
210,0.5878,0.4818,0.2832,1.0695,-0.7864
211,0.6374,0.6029,0.3843,1.2404,-0.856
212,0.6845,0.7115,0.4871,1.3961,-0.909
213,0.729,0.8053,0.587,1.5343,-0.9472
214,0.7705,0.8823,0.6798,1.6528,-0.973
215,0.809,0.9409,0.7612,1.7499,-0.9887
216,0.8443,0.9799,0.8273,1.8242,-0.9969
217,0.8763,0.9984,0.8749,1.8747,-0.9998
218,0.9048,0.9961,0.9013,1.901,-0.9996
219,0.9298,0.9731,0.9048,1.9029,-0.9981
220,0.9511,0.9298,0.8843,1.8808,-0.9966
221,0.9686,0.8671,0.8398,1.8357,-0.9958
222,0.9823,0.7863,0.7724,1.7686,-0.9962
223,0.9921,0.6891,0.6837,1.6812,-0.9975
224,0.998,0.5776,0.5764,1.5756,-0.9992
225,1,0.454,0.454,1.454,-1
226,0.998,0.3209,0.3203,1.319,-0.9987
227,0.9921,0.1812,0.1798,1.1733,-0.9935
228,0.9823,0.0377,0.037,1.02,-0.983
229,0.9686,-0.1066,-0.1033,0.862,-0.9652
230,0.9511,-0.2487,-0.2365,0.7024,-0.9389
231,0.9298,-0.3856,-0.3585,0.5442,-0.9027
232,0.9048,-0.5144,-0.4655,0.3904,-0.8559
233,0.8763,-0.6326,-0.5543,0.2437,-0.7981
234,0.8443,-0.7375,-0.6227,0.1068,-0.7295
235,0.809,-0.8271,-0.6691,-0.0181,-0.6511
236,0.7705,-0.8994,-0.693,-0.1289,-0.5641
237,0.729,-0.953,-0.6947,-0.224,-0.4707
238,0.6845,-0.9867,-0.6754,-0.3021,-0.3733
239,0.6374,-0.9998,-0.6373,-0.3624,-0.2749
240,0.5878,-0.9921,-0.5832,-0.4043,-0.1788
241,0.5358,-0.9637,-0.5164,-0.4279,-0.0885
242,0.4818,-0.9152,-0.4409,-0.4335,-0.0074
243,0.4258,-0.8477,-0.3609,-0.4219,0.061
244,0.3681,-0.7624,-0.2807,-0.3943,0.1136
245,0.309,-0.6613,-0.2044,-0.3523,0.1479
246,0.2487,-0.5464,-0.1359,-0.2977,0.1618
247,0.1874,-0.4201,-0.0787,-0.2327,0.154
248,0.1253,-0.285,-0.0357,-0.1597,0.124
249,0.0628,-0.144,-0.009,-0.0812,0.0722
250,0,0,0,0,0
251,-0.0628,0.144,-0.009,0.0812,-0.0903
252,-0.1253,0.285,-0.0357,0.1597,-0.1954
253,-0.1874,0.4201,-0.0787,0.2327,-0.3114
254,-0.2487,0.5464,-0.1359,0.2977,-0.4336
255,-0.309,0.6613,-0.2044,0.3523,-0.5567
256,-0.3681,0.7624,-0.2807,0.3943,-0.675
257,-0.4258,0.8477,-0.3609,0.4219,-0.7828
258,-0.4818,0.9152,-0.4409,0.4335,-0.8744
259,-0.5358,0.9637,-0.5164,0.4279,-0.9443
260,-0.5878,0.9921,-0.5832,0.4043,-0.9875
261,-0.6374,0.9998,-0.6373,0.3624,-0.9997
262,-0.6845,0.9867,-0.6754,0.3021,-0.9776
263,-0.729,0.953,-0.6947,0.224,-0.9187
264,-0.7705,0.8994,-0.693,0.1289,-0.8219
265,-0.809,0.8271,-0.6691,0.0181,-0.6872
266,-0.8443,0.7375,-0.6227,-0.1068,-0.5159
267,-0.8763,0.6326,-0.5543,-0.2437,-0.3106
268,-0.9048,0.5144,-0.4655,-0.3904,-0.0751
269,-0.9298,0.3856,-0.3585,-0.5442,0.1857
270,-0.9511,0.2487,-0.2365,-0.7024,0.4658
271,-0.9686,0.1066,-0.1033,-0.862,0.7587
272,-0.9823,-0.0377,0.037,-1.02,1.057
273,-0.9921,-0.1812,0.1798,-1.1733,1.3531
274,-0.998,-0.3209,0.3203,-1.319,1.6393
275,-1,-0.454,0.454,-1.454,1.908
276,-0.998,-0.5776,0.5764,-1.5756,2.152
277,-0.9921,-0.6891,0.6837,-1.6812,2.3649
278,-0.9823,-0.7863,0.7724,-1.7686,2.5409
279,-0.9686,-0.8671,0.8398,-1.8357,2.6755
280,-0.9511,-0.9298,0.8843,-1.8808,2.7651
281,-0.9298,-0.9731,0.9048,-1.9029,2.8076
282,-0.9048,-0.9961,0.9013,-1.901,2.8023
283,-0.8763,-0.9984,0.8749,-1.8747,2.7496
284,-0.8443,-0.9799,0.8273,-1.8242,2.6515
285,-0.809,-0.9409,0.7612,-1.7499,2.5111
286,-0.7705,-0.8823,0.6798,-1.6528,2.3326
287,-0.729,-0.8053,0.587,-1.5343,2.1213
288,-0.6845,-0.7115,0.4871,-1.3961,1.8832
289,-0.6374,-0.6029,0.3843,-1.2404,1.6247
290,-0.5878,-0.4818,0.2832,-1.0695,1.3527
291,-0.5358,-0.3505,0.1878,-0.8864,1.0742
292,-0.4818,-0.212,0.1021,-0.6938,0.7959
293,-0.4258,-0.0691,0.0294,-0.4948,0.5242
294,-0.3681,0.0753,-0.0277,-0.2928,0.2651
295,-0.309,0.2181,-0.0674,-0.0909,0.0235
296,-0.2487,0.3564,-0.0886,0.1077,-0.1964
297,-0.1874,0.4873,-0.0913,0.2999,-0.3912
298,-0.1253,0.6079,-0.0762,0.4826,-0.5588
299,-0.0628,0.7159,-0.045,0.6531,-0.6981
300,0,0.809,0,0.809,-0.809
301,0.0628,0.8852,0.0556,0.948,-0.8924
302,0.1253,0.943,0.1182,1.0683,-0.9501
303,0.1874,0.9811,0.1838,1.1685,-0.9846
304,0.2487,0.9987,0.2484,1.2474,-0.9991
305,0.309,0.9956,0.3076,1.3046,-0.9969
306,0.3681,0.9716,0.3577,1.3398,-0.9821
307,0.4258,0.9274,0.3949,1.3532,-0.9583
308,0.4818,0.8639,0.4162,1.3457,-0.9295
309,0.5358,0.7824,0.4192,1.3182,-0.899
310,0.5878,0.6845,0.4024,1.2723,-0.87
311,0.6374,0.5724,0.3649,1.2099,-0.845
312,0.6845,0.4484,0.3069,1.1329,-0.826
313,0.729,0.315,0.2296,1.044,-0.8143
314,0.7705,0.175,0.1349,0.9455,-0.8107
315,0.809,0.0314,0.0254,0.8404,-0.815
316,0.8443,-0.1129,-0.0953,0.7315,-0.8268
317,0.8763,-0.2548,-0.2233,0.6215,-0.8448
318,0.9048,-0.3914,-0.3541,0.5135,-0.8676
319,0.9298,-0.5198,-0.4833,0.41,-0.8933
320,0.9511,-0.6374,-0.6062,0.3136,-0.9199
321,0.9686,-0.7417,-0.7184,0.2268,-0.9453
322,0.9823,-0.8306,-0.8159,0.1517,-0.9676
323,0.9921,-0.9021,-0.895,0.09,-0.985
324,0.998,-0.9549,-0.953,0.0432,-0.9961
325,1,-0.9877,-0.9877,0.0123,-1
326,0.998,-0.9999,-0.9979,-0.0019,-0.9961
327,0.9921,-0.9913,-0.9835,8e-04,-0.9843
328,0.9823,-0.962,-0.945,0.0203,-0.9652
329,0.9686,-0.9127,-0.884,0.0559,-0.9399
330,0.9511,-0.8443,-0.803,0.1067,-0.9097
331,0.9298,-0.7584,-0.7051,0.1714,-0.8765
332,0.9048,-0.6566,-0.5941,0.2482,-0.8423
333,0.8763,-0.5411,-0.4742,0.3352,-0.8094
334,0.8443,-0.4144,-0.3499,0.43,-0.7798
335,0.809,-0.279,-0.2257,0.53,-0.7557
336,0.7705,-0.1378,-0.1062,0.6327,-0.7389
337,0.729,0.0063,0.0046,0.7353,-0.7307
338,0.6845,0.1502,0.1028,0.8348,-0.7319
339,0.6374,0.291,0.1855,0.9285,-0.7429
340,0.5878,0.4258,0.2503,1.0136,-0.7633
341,0.5358,0.5516,0.2956,1.0875,-0.7919
342,0.4818,0.666,0.3209,1.1478,-0.8269
343,0.4258,0.7665,0.3264,1.1923,-0.8659
344,0.3681,0.851,0.3133,1.2191,-0.9058
345,0.309,0.9178,0.2836,1.2268,-0.9432
346,0.2487,0.9654,0.2401,1.2141,-0.974
347,0.1874,0.9929,0.186,1.1803,-0.9942
348,0.1253,0.9997,0.1253,1.125,-0.9997
349,0.0628,0.9856,0.0619,1.0484,-0.9865
350,0,0.9511,0,0.9511,-0.9511
351,-0.0628,0.8966,-0.0563,0.8339,-0.8902
352,-0.1253,0.8235,-0.1032,0.6982,-0.8014
353,-0.1874,0.7333,-0.1374,0.5459,-0.6833
354,-0.2487,0.6277,-0.1561,0.379,-0.5351
355,-0.309,0.509,-0.1573,0.2,-0.3573
356,-0.3681,0.3798,-0.1398,0.0117,-0.1515
357,-0.4258,0.2426,-0.1033,-0.1832,0.0799
358,-0.4818,0.1004,-0.0483,-0.3814,0.333
359,-0.5358,-0.044,0.0236,-0.5798,0.6034
360,-0.5878,-0.1874,0.1101,-0.7752,0.8853
361,-0.6374,-0.3269,0.2084,-0.9643,1.1727
362,-0.6845,-0.4596,0.3146,-1.1441,1.4587
363,-0.729,-0.5827,0.4248,-1.3117,1.7364
364,-0.7705,-0.6937,0.5345,-1.4642,1.9986
365,-0.809,-0.7902,0.6392,-1.5992,2.2384
366,-0.8443,-0.8702,0.7347,-1.7145,2.4492
367,-0.8763,-0.9321,0.8168,-1.8084,2.6252
368,-0.9048,-0.9745,0.8818,-1.8794,2.7611
369,-0.9298,-0.9967,0.9267,-1.9264,2.8531
370,-0.9511,-0.998,0.9492,-1.9491,2.8983
371,-0.9686,-0.9786,0.9478,-1.9472,2.895
372,-0.9823,-0.9387,0.9221,-1.921,2.8431
373,-0.9921,-0.8793,0.8724,-1.8714,2.7438
374,-0.998,-0.8016,0.8,-1.7996,2.5996
375,-1,-0.7071,0.7071,-1.7071,2.4142
376,-0.998,-0.5979,0.5967,-1.5959,2.1927
377,-0.9921,-0.4762,0.4725,-1.4684,1.9408
378,-0.9823,-0.3446,0.3385,-1.3269,1.6655
379,-0.9686,-0.2059,0.1994,-1.1744,1.3738
380,-0.9511,-0.0628,0.0597,-1.0138,1.0736
381,-0.9298,0.0816,-0.0759,-0.8482,0.7723
382,-0.9048,0.2243,-0.2029,-0.6806,0.4776
383,-0.8763,0.3623,-0.3175,-0.514,0.1966
384,-0.8443,0.4927,-0.416,-0.3516,-0.0644
385,-0.809,0.6129,-0.4959,-0.1961,-0.2997
386,-0.7705,0.7203,-0.555,-0.0502,-0.5048
387,-0.729,0.8127,-0.5924,0.0837,-0.6762
388,-0.6845,0.8881,-0.608,0.2036,-0.8116
389,-0.6374,0.9451,-0.6024,0.3076,-0.91
390,-0.5878,0.9823,-0.5774,0.3945,-0.9719
391,-0.5358,0.999,-0.5353,0.4632,-0.9985
392,-0.4818,0.995,-0.4793,0.5132,-0.9925
393,-0.4258,0.9701,-0.4131,0.5443,-0.9574
394,-0.3681,0.9251,-0.3405,0.557,-0.8975
395,-0.309,0.8607,-0.266,0.5517,-0.8177
396,-0.2487,0.7785,-0.1936,0.5298,-0.7234
397,-0.1874,0.68,-0.1274,0.4926,-0.62
398,-0.1253,0.5673,-0.0711,0.4419,-0.513
399,-0.0628,0.4428,-0.0278,0.38,-0.4078
400,0,0.309,0,0.309,-0.309
401,0.0628,0.1688,0.0106,0.2316,-0.221
402,0.1253,0.0251,0.0031,0.1505,-0.1473
403,0.1874,-0.1191,-0.0223,0.0683,-0.0906
404,0.2487,-0.2608,-0.0649,-0.0122,-0.0527
405,0.309,-0.3971,-0.1227,-0.0881,-0.0346
406,0.3681,-0.5252,-0.1933,-0.1571,-0.0363
407,0.4258,-0.6423,-0.2735,-0.2165,-0.057
408,0.4818,-0.7459,-0.3594,-0.2642,-0.0952
409,0.5358,-0.8341,-0.4469,-0.2983,-0.1487
410,0.5878,-0.9048,-0.5318,-0.317,-0.2148
411,0.6374,-0.9567,-0.6098,-0.3193,-0.2905
412,0.6845,-0.9887,-0.6768,-0.3041,-0.3727
413,0.729,-1,-0.729,-0.271,-0.4579
414,0.7705,-0.9905,-0.7632,-0.2199,-0.5432
415,0.809,-0.9603,-0.7769,-0.1513,-0.6256
416,0.8443,-0.9101,-0.7684,-0.0658,-0.7026
417,0.8763,-0.8409,-0.7369,0.0354,-0.7723
418,0.9048,-0.7543,-0.6825,0.1506,-0.833
419,0.9298,-0.6518,-0.6061,0.2779,-0.884
420,0.9511,-0.5358,-0.5096,0.4152,-0.9248
421,0.9686,-0.4086,-0.3958,0.5599,-0.9557
422,0.9823,-0.273,-0.2681,0.7093,-0.9775
423,0.9921,-0.1316,-0.1305,0.8606,-0.9911
424,0.998,0.0126,0.0125,1.0106,-0.9981
425,1,0.1564,0.1564,1.1564,-1
426,0.998,0.297,0.2965,1.2951,-0.9986
427,0.9921,0.4315,0.4281,1.4236,-0.9955
428,0.9823,0.5569,0.547,1.5392,-0.9922
429,0.9686,0.6707,0.6496,1.6393,-0.9897
430,0.9511,0.7705,0.7328,1.7216,-0.9888
431,0.9298,0.8543,0.7943,1.7841,-0.9898
432,0.9048,0.9202,0.8327,1.8251,-0.9924
433,0.8763,0.967,0.8474,1.8433,-0.9959
434,0.8443,0.9936,0.8389,1.8379,-0.999
435,0.809,0.9995,0.8086,1.8085,-0.9999
436,0.7705,0.9846,0.7586,1.7551,-0.9965
437,0.729,0.9491,0.6919,1.6781,-0.9862
438,0.6845,0.8938,0.6119,1.5784,-0.9665
439,0.6374,0.82,0.5227,1.4574,-0.9347
440,0.5878,0.729,0.4285,1.3168,-0.8883
441,0.5358,0.6228,0.3337,1.1586,-0.8249
442,0.4818,0.5036,0.2426,0.9854,-0.7428
443,0.4258,0.374,0.1592,0.7997,-0.6405
444,0.3681,0.2365,0.0871,0.6046,-0.5176
445,0.309,0.0941,0.0291,0.4031,-0.374
446,0.2487,-0.0502,-0.0125,0.1984,-0.2109
447,0.1874,-0.1935,-0.0363,-0.0062,-0.0301
448,0.1253,-0.3328,-0.0417,-0.2075,0.1658
449,0.0628,-0.4652,-0.0292,-0.4024,0.3732
450,0,-0.5878,0,-0.5878,0.5878
451,-0.0628,-0.6982,0.0438,-0.761,0.8048
452,-0.1253,-0.794,0.0995,-0.9193,1.0188
453,-0.1874,-0.8733,0.1636,-1.0606,1.2243
454,-0.2487,-0.9343,0.2324,-1.183,1.4154
455,-0.309,-0.9759,0.3016,-1.2849,1.5865
456,-0.3681,-0.9972,0.3671,-1.3653,1.7324
457,-0.4258,-0.9976,0.4248,-1.4234,1.8482
458,-0.4818,-0.9773,0.4708,-1.459,1.9298
459,-0.5358,-0.9365,0.5018,-1.4724,1.9742
460,-0.5878,-0.8763,0.5151,-1.4641,1.9792
461,-0.6374,-0.7978,0.5085,-1.4352,1.9438
462,-0.6845,-0.7026,0.481,-1.3872,1.8682
463,-0.729,-0.5929,0.4322,-1.3218,1.754
464,-0.7705,-0.4707,0.3627,-1.2412,1.6039
465,-0.809,-0.3387,0.274,-1.1478,1.4218
466,-0.8443,-0.1997,0.1686,-1.044,1.2127
467,-0.8763,-0.0565,0.0495,-0.9328,0.9824
468,-0.9048,0.0879,-0.0795,-0.817,0.7375
469,-0.9298,0.2304,-0.2142,-0.6994,0.4852
470,-0.9511,0.3681,-0.3501,-0.5829,0.2328
471,-0.9686,0.4982,-0.4825,-0.4704,-0.0121
472,-0.9823,0.6179,-0.6069,-0.3644,-0.2425
473,-0.9921,0.7247,-0.7189,-0.2675,-0.4515
474,-0.998,0.8163,-0.8147,-0.1817,-0.633
475,-1,0.891,-0.891,-0.109,-0.782
476,-0.998,0.9471,-0.9452,-0.0509,-0.8943
477,-0.9921,0.9834,-0.9757,-0.0087,-0.967
478,-0.9823,0.9993,-0.9816,0.017,-0.9986
479,-0.9686,0.9943,-0.9631,0.0257,-0.9888
480,-0.9511,0.9686,-0.9212,0.0175,-0.9387
481,-0.9298,0.9227,-0.8579,-0.0071,-0.8508
482,-0.9048,0.8575,-0.7759,-0.0473,-0.7286
483,-0.8763,0.7745,-0.6787,-0.1018,-0.5769
484,-0.8443,0.6753,-0.5702,-0.169,-0.4012
485,-0.809,0.5621,-0.4547,-0.2469,-0.2078
486,-0.7705,0.4371,-0.3368,-0.3334,-0.0034
